benchmark,question_id,true_answer,majority_vote,weighted_vote,random_vote,best_agent,mv_correct,wv_correct,rv_correct,bv_correct,num_missing_agents,missing_agents,exceeds_missing_threshold,very_strong_answer,very_strong_correct,strong_answer,strong_correct,medium_answer,medium_correct,weak_answer,weak_correct,very_weak_answer,very_weak_correct
mmlu,0,D,D,D,D,D,1,1,1,1,1,medium,0,D,1,D,1,,0,D,1,D,1
mmlu,1,C,C,C,C,C,1,1,1,1,1,medium,0,C,1,C,1,,0,C,1,C,1
mmlu,2,A,A,A,C,A,1,1,0,1,0,,0,A,1,A,1,C,0,A,1,D,0
mmlu,3,B,B,B,B,B,1,1,1,1,1,medium,0,B,1,B,1,,0,B,1,B,1
mmlu,4,C,A,A,C,C,0,0,1,1,2,"very_strong,weak",0,,0,C,1,A,0,,0,A,0
mmlu,5,B,B,B,B,B,1,1,1,1,0,,0,B,1,B,1,B,1,B,1,B,1
mmlu,6,C,C,C,C,C,1,1,1,1,0,,0,C,1,C,1,A,0,C,1,A,0
mmlu,7,A,B,B,B,B,0,0,0,0,1,very_strong,0,,0,B,0,B,0,B,0,B,0
mmlu,8,C,B,B,B,B,0,0,0,0,3,"very_strong,weak,very_weak",0,,0,B,0,A,0,,0,,0
mmlu,9,B,C,C,B,C,0,0,1,0,3,"very_strong,weak,very_weak",0,,0,C,0,B,1,,0,,0
mmlu,10,D,D,D,A,D,1,1,0,1,3,"strong,weak,very_weak",0,D,1,,0,A,0,,0,,0
mmlu,11,D,A,A,A,A,0,0,0,0,2,"very_strong,strong",0,,0,,0,A,0,A,0,B,0
mmlu,12,D,D,D,A,D,1,1,0,1,0,,0,D,1,D,1,A,0,D,1,D,1
mmlu,13,B,B,B,B,B,1,1,1,1,1,medium,0,B,1,B,1,,0,B,1,B,1
mmlu,14,D,D,D,D,D,1,1,1,1,2,"very_strong,weak",0,,0,D,1,A,0,,0,D,1
mmlu,15,D,D,D,D,D,1,1,1,1,1,medium,0,D,1,D,1,,0,D,1,D,1
mmlu,16,A,A,A,A,A,1,1,1,1,1,medium,0,A,1,A,1,,0,A,1,A,1
