benchmark,question_id,true_answer,majority_vote,weighted_vote,random_vote,best_agent,mv_correct,wv_correct,rv_correct,bv_correct,num_missing_agents,missing_agents,exceeds_missing_threshold,very_strong_answer,very_strong_correct,strong_answer,strong_correct,medium_answer,medium_correct,weak_answer,weak_correct,very_weak_answer,very_weak_correct
gsm8k,0,18,18.0,18.0,18.0,18.0,1,1,1,1,0,,0,18.0,1,18.0,1,18.0,1,18.0,1,18.0,1
gsm8k,1,3,3.0,3.0,3.0,3.0,1,1,1,1,0,,0,3.0,1,3.0,1,3.0,1,3.0,1,3.0,1
gsm8k,2,70000,70000.0,70000.0,70000.0,70000.0,1,1,1,1,0,,0,70000.0,1,70000.0,1,200.0,0,70000.0,1,0.0,0
gsm8k,3,540,540.0,540.0,540.0,540.0,1,1,1,1,0,,0,540.0,1,540.0,1,540.0,1,540.0,1,540.0,1
gsm8k,4,20,20.0,20.0,20.0,20.0,1,1,1,1,0,,0,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1
gsm8k,5,64,64.0,64.0,64.0,64.0,1,1,1,1,0,,0,64.0,1,64.0,1,64.0,1,64.0,1,48.0,0
gsm8k,6,260,260.0,260.0,260.0,260.0,1,1,1,1,0,,0,260.0,1,260.0,1,260.0,1,260.0,1,260.0,1
gsm8k,7,160,160.0,160.0,120.0,160.0,1,1,0,1,0,,0,160.0,1,160.0,1,200.0,0,160.0,1,120.0,0
gsm8k,8,45,45.0,45.0,45.0,45.0,1,1,1,1,0,,0,45.0,1,45.0,1,0.5,0,45.0,1,135.0,0
gsm8k,9,460,460.0,460.0,460.0,460.0,1,1,1,1,0,,0,460.0,1,460.0,1,460.0,1,460.0,1,460.0,1
gsm8k,10,366,366.0,366.0,366.0,366.0,1,1,1,1,0,,0,366.0,1,366.0,1,366.0,1,366.0,1,366.0,1
gsm8k,11,694,694.0,694.0,694.0,694.0,1,1,1,1,0,,0,694.0,1,694.0,1,694.0,1,694.0,1,694.0,1
gsm8k,12,13,13.0,13.0,13.0,13.0,1,1,1,1,1,weak,0,13.0,1,13.0,1,12.0,0,,0,13.0,1
gsm8k,13,18,18.0,18.0,18.0,18.0,1,1,1,1,0,,0,18.0,1,18.0,1,10.0,0,18.0,1,18.0,1
gsm8k,14,60,60.0,60.0,60.0,60.0,1,1,1,1,0,,0,60.0,1,60.0,1,60.0,1,60.0,1,60.0,1
gsm8k,15,125,125.0,125.0,125.0,125.0,1,1,1,1,0,,0,125.0,1,125.0,1,0.012,0,125.0,1,96.0,0
gsm8k,16,230,230.0,230.0,230.0,230.0,1,1,1,1,0,,0,230.0,1,230.0,1,230.0,1,230.0,1,230.0,1
gsm8k,17,57500,57500.0,57500.0,700.0,57500.0,1,1,0,1,0,,0,57500.0,1,57500.0,1,700.0,0,57500.0,1,500.0,0
gsm8k,18,7,7.0,7.0,7.0,7.0,1,1,1,1,0,,0,7.0,1,7.0,1,7.0,1,7.0,1,7.0,1
gsm8k,19,6,6.0,6.0,6.0,6.0,1,1,1,1,0,,0,6.0,1,6.0,1,6.0,1,6.0,1,6.0,1
gsm8k,20,15,15.0,15.0,15.0,15.0,1,1,1,1,0,,0,15.0,1,15.0,1,6.0,0,15.0,1,15.0,1
gsm8k,21,14,14.0,14.0,14.0,14.0,1,1,1,1,0,,0,14.0,1,14.0,1,2009.0,0,14.0,1,14.0,1
gsm8k,22,7,7.0,7.0,7.0,7.0,1,1,1,1,0,,0,7.0,1,7.0,1,7.0,1,7.0,1,7.0,1
gsm8k,23,8,8.0,8.0,8.0,8.0,1,1,1,1,0,,0,8.0,1,8.0,1,8.0,1,8.0,1,8.0,1
gsm8k,24,26,26.0,26.0,26.0,26.0,1,1,1,1,0,,0,26.0,1,26.0,1,0.2,0,26.0,1,26.0,1
gsm8k,25,2,2.0,2.0,2.0,2.0,1,1,1,1,0,,0,2.0,1,2.0,1,2.0,1,2.0,1,2.0,1
gsm8k,26,243,243.0,243.0,243.0,243.0,1,1,1,1,0,,0,243.0,1,243.0,1,243.0,1,243.0,1,243.0,1
